Paragraph_Num,Section,Section_Name,Header,Sub_Header,Sub_sub_head,Paragraph,Summary_Sentence,Tags
1,I,INTRODUCTION,,,,"The Internet is America’s most important platform for economic growth, innovation, 
competition, free expression, and broadband investment and deployment. As a “general purpose 
technology,” the Internet has been, and remains to date, the preeminent 21st century engine for innovation 
and the economic and social benefits that follow. These benefits flow, in large part, from the open, end-
to-end architecture of the Internet, which is characterized by low barriers to entry for developers of new 
content, applications, services, and devices and a consumer-demand-driven marketplace for their 
products. As the Commission explained in its 2010 Open Internet Order, the Internet’s open architecture 
allows innovators and consumers at the edges of the network “to create and determine the success or 
failure of content, applications, services and devices,” without requiring permission from the broadband 
provider to reach end users.1 As an open platform, it fosters diversity and it enables people to build 
communities.","The open architecture of the Internet, the 21st century's engine for innovation, allows innovators and consumers to create content and applications, without requiring permission from broadband providers.","internet, architecture, consumer, barrier, technology, innovator, consumer, diversity, community, economic, innovation, competition, free expression"
2,I,INTRODUCTION,,,,"We start with a fundamental question: What is the right public policy to ensure that the 
Internet remains open? This Notice of Proposed Rulemaking (Notice), and the comment process that 
follows, will turn on this fundamental question. ",What is the right public policy to ensure that the Internet remains open?,"open, comment, internet"
3,I,INTRODUCTION,,,,"Today, there are no legally enforceable rules by which the Commission can stop 
broadband providers from limiting Internet openness. This Notice begins the process of closing that gap, 
by proposing to reinstitute the no-blocking rule adopted in 2010 and creating a new rule that would bar 
commercially unreasonable actions from threatening Internet openness (as well as enhancing the 
transparency rule that is currently in effect). ",This begins the process of reinstituting the no-block rule and creating a new rule to bar actions that threaten Internet openness. ,"no-block rule, notice, commission, broadband, 2010, rule, openness"
4,I,INTRODUCTION,,,,"The goal of this proceeding is to find the best approach to protecting and promoting 
Internet openness. Per the blueprint offered by the D.C. Circuit in its decision in Verizon v. FCC, the 
Commission proposes to rely on section 706 of the Telecommunications Act of 1996.2 At the same time, 
the Commission will seriously consider the use of Title II of the Communications Act as the basis for 
legal authority. This Notice seeks comment on the benefits of both section 706 and Title II, including the 
benefits of one approach over the other. Under all available sources of legal authority (including also 
Title III for mobile services), the Commission seeks comment on the best ways to define, prevent and 
punish the practices that threaten an open Internet. We emphasize in this Notice that the Commission 
recognizes that both section 706 and Title II are viable solutions and seek comment on their potential use. ","The goal of this proceeding is to find the best approach to protecting and promoting Internet openness, possibly relying on section 706 of the Telecommunications Act of 1996.2 and Title II of the Communications Act for legal authority.
Internet openness","verizon, fcc, section 706, telecommunications act, communications act, 706, title II, internet, open"
5,I,INTRODUCTION,,,,"It is important to always remember that the Internet is a collection of networks, not a 
single network. And that means that each broadband provider can either add to the benefits that the 
Internet delivers to Americans—by maintaining Internet openness and by extending the reach of 
broadband networks—or it can threaten those benefits—by restricting its customers from the Internet and 
preventing edge providers from reaching consumers over robust, fast and continuously improving 
networks. This is a real threat, not merely a hypothetical concern. ",Each Internet broadband provider can add to the benefits that the Internet delivers to Americans or it can threaten those benefits.,"network, internet, openness, broadband, threaten, restrict"
6,I,INTRODUCTION,,,,"In its 2010 Order, the Commission found that providers of broadband Internet access 
service had three types of incentives to limit Internet openness. First, broadband providers may have 
economic incentives to block or disadvantage a particular edge provider or class of edge providers.3 Second, broadband providers may have incentives to increase revenues by charging edge providers for access or prioritized access to the broadband provider’s end users.4 In particular, excessive 
fees could reduce edge provider entry, suppress innovation, and depress consumer demand.5 Third, if 
providers could profitably charge edge providers they would have an incentive “to degrade or decline to 
increase the quality of service they provide to non-prioritized traffic.”6",Internet providers have three incentives to limit openness,"openness, broadband, 2010 order, fees, suppress, innovation, consumer, charge"
7,I,INTRODUCTION,,,,"Those threats are even more important today because Americans and American 
businesses have become even more dependent on the Internet. For example, according to the Pew 
Research Internet Project, as of January 2014, 87 percent of Americans used the Internet, compared to 
14 percent in 1995.7 And it is a critical route of commerce, supporting an e-commerce marketplace that 
now boasts U.S. revenues of $263.3 billion.8","87% of Americans use the Internet, up from 14% in 1995.","americans, threats, pew, commerce, marketplace, revenue"
8,I,INTRODUCTION,,,,"Of particular concern are threats to American innovation. In “the end-to-end architecture, 
different economic actors can independently choose their innovation projects.”9 Innovation is the chief 
driver of American economic growth, which means that all Americans lose if the opportunity to innovate 
is curbed. For example, an economic study originally released in February 2012 and updated in July 2013 
reported that the app economy is responsible for roughly 752,000 jobs in the United States, which is an 
increase from zero in 2007 when the iPhone was introduced.10 But equally important are the jobs that 
could be—but might not be—created if edge innovation and investment were to be chilled by doubt that 
the Internet will remain open or, even worse, if openness were defeated. ","Innovation is the chief driver of American economic growth, and innovation is at risk if openness is defeated.","innovation, architecture, economic, lose, jobs, iphone, investment, chill, openness"
9,I,INTRODUCTION,,,,"Although the Commission has emphasized for almost a decade the importance of legally
enforceable standards, the United States Court of Appeals for the District of Columbia Circuit has twice 
invalidated the Commission’s attempts, most recently in Verizon v. FCC, decided this January.11 It is in 
the absence of these protections for the open Internet that the Commission must act to ensure that new 
legally enforceable rules are put in place. That is a gap that must be closed as quickly as possible.",The Appeals Court has twice shot down FCC rules; new rules must be adopted quickly.,"commission, appeals court, district of columbia, verison, fcc, open, gap"
10,I,INTRODUCTION,,,,"The remainder of the Notice proceeds as follows. First, we generally propose to retain 
the definitions and scope of the 2010 rules. Second, we tentatively conclude that the Commission should 
enhance the transparency rule that was upheld by the D.C. Circuit so that the public and the Commission 
have the benefit of sunlight on broadband provider actions and to ensure that consumers and edge providers—indeed, the Internet community at large—have the information they need to understand the 
services they are receiving and to monitor practices that could undermine the open Internet. Third, we 
tentatively conclude that the Commission should adopt the text of the no-blocking rule from the Open 
Internet Order with a revised rationale, in order to ensure that all end users and edge providers can enjoy 
the use of robust, fast and dynamic Internet access. Fourth, and where conduct would otherwise be 
permissible under the no-blocking rule, we propose to create a separate screen that requires broadband 
providers to adhere to an enforceable legal standard of commercially reasonable practices, asking how 
harm can best be identified and prohibited and whether certain practices, like paid prioritization, should 
be barred altogether. Fifth, we propose a multi-faceted dispute resolution process to provide effective 
access for end users, edge providers, and broadband network providers alike and the creation of an 
ombudsperson to act as a watchdog to represent the interests of consumers, start-ups, and small 
businesses. Sixth, and finally, we ask how either section 706 or Title II (or other sources of legal 
authority such as Title III for mobile services) could be applied to ensure that the Internet remains open.
","The FCC proposes keeping definitions and scope of rules from 2010, enhancing transparency rules so the public can monitor broadband practices that could undermine the open Internet, adopt the text of a rule that ensures robust dynamic Internet access, and require broadband providers to adhere to commercially reasonable and legally enforceable practices.","notice, 2010 rules, transparency, public commission, sunlight, broadband, consumers, practices, internet, open, commission, no-blocking, rule, order, access, no blocking, paid, dispute, resolution, network, ombudsperson, watchdog, access, consumers, start-ups, business, mobile"
